protocol,model,feature_set,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_train,n_test,n_conditions_train,n_conditions_test,n_domains_train,n_domains_test,below_floor
C,ridge,FS1,0.7468182925035545,0.11839912406369126,0.32977834640381104,0.06654494076355785,0.24346292525334512,0.04942032474682584,63,16,37,9,4,4,False
C,ridge,FS2,0.5489101114920059,0.12355426285742419,0.45585671906475744,0.061091371841303595,0.35190498259862324,0.03838986660827516,63,16,37,9,4,4,False
C,ridge,FS3,0.46519383943575854,0.1702790510850908,0.4937963011521135,0.0790462965798353,0.4012102211898016,0.0598674006325678,63,16,37,9,4,4,False
C,ridge,FS5,0.48992838014228274,0.1572217634089731,0.4851355300808063,0.09060795831291951,0.39668062953311795,0.07409939375643959,63,16,37,9,4,4,False
C,catboost,FS1,0.7980818048317015,0.06635108077223152,0.3073946155938048,0.08282904679481014,0.23706547714934673,0.05431466465619489,63,16,37,9,4,4,False
C,catboost,FS2,0.7341374428700758,0.08194150585478122,0.3536870681746384,0.09346508933420238,0.26420995023657007,0.06812117624834997,63,16,37,9,4,4,False
C,catboost,FS3,0.6749326509920965,0.1237474628564434,0.3848628582261854,0.07323226809770472,0.2747606121313145,0.049541266786667065,63,16,37,9,4,4,False
C,catboost,FS5,0.8174046974062147,0.0842041786386753,0.28224078261039054,0.04909606819699549,0.22138377961772487,0.028014275078093905,63,16,37,9,4,4,False
C,random_forest,FS1,0.8048407808566296,0.08942961025762233,0.2958743815012639,0.07948075092022433,0.22704277083333357,0.06601519932612623,63,16,37,9,4,4,False
C,random_forest,FS2,0.798668692482521,0.09161862284404106,0.3015534718231997,0.07963004742749427,0.22767531150793582,0.061221829326194764,63,16,37,9,4,4,False
C,random_forest,FS3,0.6674134134481309,0.11603527934473287,0.3899420323184993,0.06682242222585129,0.28206624485897636,0.04108086310201541,63,16,37,9,4,4,False
C,random_forest,FS5,0.7925492209992829,0.07470499316030653,0.30470043493479376,0.03808552489924916,0.23550363830576942,0.02246401560497552,63,16,37,9,4,4,False
D,dummy,FS1,-0.09977342072891393,0.10277566388054216,0.7341638473758916,0.04101176066843213,0.6170174203730541,0.07950590189592179,59,20,34,12,3,1,False
D,dummy,FS2,-0.09977342072891393,0.10277566388054216,0.7341638473758916,0.04101176066843213,0.6170174203730541,0.07950590189592179,59,20,34,12,3,1,False
D,dummy,FS3,-0.09977342072891393,0.10277566388054216,0.7341638473758916,0.04101176066843213,0.6170174203730541,0.07950590189592179,59,20,34,12,3,1,False
D,dummy,FS5,-0.09977342072891393,0.10277566388054216,0.7341638473758916,0.04101176066843213,0.6170174203730541,0.07950590189592179,59,20,34,12,3,1,False
D,ridge,FS1,-46.914867142683654,80.44343774409408,2.997655374582571,3.8454221048250945,2.2359907485196557,2.6421028506346707,59,20,34,12,3,1,False
D,ridge,FS2,-0.2150720583782938,1.476505249011831,0.6546071189464118,0.41686324026465404,0.5632803392482287,0.3782022050509159,59,20,34,12,3,1,False
D,ridge,FS3,0.4483079942936147,0.21120019143144186,0.5137597779690314,0.11994032585902382,0.4071075244912853,0.08151719147234747,59,20,34,12,3,1,False
D,ridge,FS5,0.43857128970392273,0.24530408799463416,0.5145640507257607,0.12823943592505424,0.3961384772240952,0.08931654520413121,59,20,34,12,3,1,False
D,catboost,FS1,0.3292002547678092,0.2917832715293807,0.556936439363056,0.12844901194308775,0.4605480759190779,0.10752811668850984,59,20,34,12,3,1,False
D,catboost,FS2,0.23719802291190725,0.38482909226338075,0.5913647380962395,0.15614330345562472,0.47687977457203773,0.1486353911883772,59,20,34,12,3,1,False
D,catboost,FS3,0.5554617244139056,0.07416405977545026,0.465885006911829,0.041416542979290816,0.3641800443864741,0.05017235069351734,59,20,34,12,3,1,False
D,catboost,FS5,0.44523786433820467,0.2556885396763274,0.5074806280344597,0.12381386104411478,0.4133565850151111,0.12714753801591522,59,20,34,12,3,1,False
D,random_forest,FS1,0.4821563490411534,0.26551447666307604,0.48987506918196655,0.12080460467466686,0.39334532273282435,0.12021411044456655,59,20,34,12,3,1,False
D,random_forest,FS2,0.4243406697859124,0.3529813348855241,0.5095607683556336,0.15188825213582968,0.41408865717615884,0.1498634072160641,59,20,34,12,3,1,False
D,random_forest,FS3,0.5177047545265179,0.09159266203389833,0.484781807650596,0.051147278142164104,0.37217237860311225,0.05469566338315905,59,20,34,12,3,1,False
D,random_forest,FS5,0.4203870746028273,0.29813218183842594,0.5148757564864642,0.14359869535985914,0.41228605051547496,0.14450114668045128,59,20,34,12,3,1,False
